author,title,rating,ratings,genres,link
Роман Прокофьев,Звездная Кровь-6. Тинг,4.8,206,"LitRPG, Боевая фантастика, Героическое фэнтези, Киберпанк, Постапокалипсис, Становление героя, Техномагия, Технофэнтези",https://www.litres.ru/book/roman-urevich-prokofev/zvezdnaya-krov-6-ting-70259332/
Джейд Картер,Нейросети практика,4.9,182,"Книги о компьютерах, Нейросетевое моделирование, ОС и сети, Программирование, Самиздат, Самоучитель, Язык Python, Языки программирования",https://www.litres.ru/book/dzheyd-karter/neyroseti-praktika-69414148/
Татьяна Серганова,"Здравствуйте, я невеста дракона!",5.0,382,"Драконы, Любовное фэнтези, Новогодние истории, Самиздат, Только на ЛитРес",https://www.litres.ru/book/tatyana-serganova/zdravstvuyte-ya-nevesta-drakona-70245520/
Коллектив авторов,DAMA-DMBOK. Свод знаний по управлению данными,4.7,15,"Анализ данных, Базы данных, Информационные технологии (IT), Компьютерная справочная литература, Обработка данных, Хранилища данных, Цифровые технологии",https://www.litres.ru/book/raznoe-4340152/dama-dmbok-svod-znaniy-po-upravleniu-dannymi-63118727/
Алексей Ситников,Karmalogic,3.9,164,"Карма, Личная эффективность, Практическая эзотерика, Развитие личности, Саморазвитие / личностный рост, Самосовершенствование, Скрытые возможности, Управление судьбой",https://www.litres.ru/book/aleksey-sitnikov/karmalogic-65294181/
Татьяна Мужицкая,Роман с самим собой. Как уравновесить внутренние ян и инь и не отвлекаться на всякую хрень,4.8,7755,"Внутренняя гармония, Искусство быть счастливым, О психологии популярно, Повышение самооценки, Психологические тренинги, Саморазвитие / личностный рост, Самосовершенствование, Уверенность в себе",https://www.litres.ru/audiobook/tatyana-muzhickaya/roman-s-samim-soboy-kak-uravnovesit-vnutrennie-yan-i-in-63995641/
Николай Цискаридзе,Мой театр. По страницам дневника. Книга I,4.9,1143,"Автобиографии, Биографии и мемуары, Звезды балета, Знаменитости, Известные люди, Истории из жизни, Истории успеха, Опера / балет, Русский балет",https://www.litres.ru/book/nikolay-ciskaridze/moy-teatr-po-stranicam-dnevnika-kniga-i-68005088/
Виктор Дашкевич,Императорский Див. Колдун Российской империи,5.0,725,"Боевая фантастика, Детективная фантастика, Остросюжетные детективы, Приключенческие детективы, Фантастический боевик, Фантастический триллер",https://www.litres.ru/audiobook/viktor-dashkevich/imperatorskiy-div-koldun-rossiyskoy-imperii-70020538/
Алексей Ситников,Karmalogic,4.5,242,"Карма, Личная эффективность, Практическая эзотерика, Развитие личности, Саморазвитие / личностный рост, Самосовершенствование, Скрытые возможности, Управление судьбой",https://www.litres.ru/audiobook/aleksey-sitnikov/karmalogic-69816310/
Виктор Дашкевич,Граф Аверин. Колдун Российской империи,4.9,853,"Боевая фантастика, Детективная фантастика, Остросюжетные детективы, Приключенческие детективы, Фантастический боевик, Фантастический триллер",https://www.litres.ru/book/viktor-dashkevich/graf-averin-koldun-rossiyskoy-imperii-69526501/
